time,x,y,z
0.000,0.079179,1.058745,9.701252
0.020,-0.205644,0.978290,9.498421
0.040,0.149143,1.099445,9.447927
0.060,0.246836,1.092102,9.325982
0.080,0.305227,1.003930,9.450375
0.100,0.398270,0.865240,9.604848
0.120,0.620552,0.903987,9.904047
0.140,0.483994,0.653301,9.903979
0.160,0.793637,0.705267,10.270352
0.180,0.753562,0.524565,10.100353
0.200,0.874451,0.500833,10.028056
0.220,0.818710,0.447468,10.042554
0.240,0.951567,0.567391,10.033793
0.260,0.827138,0.320512,9.858268
0.280,1.096652,0.394039,9.813428
0.300,0.934318,0.167261,10.023844
0.320,0.941269,-0.054770,10.050591
0.340,0.952064,-0.151826,9.640049
0.360,1.009422,-0.308166,9.895733
0.380,0.981821,-0.412278,9.755323
0.400,0.966812,-0.351764,9.870917
0.420,0.749814,-0.644248,9.642331
0.440,0.841126,-0.577952,10.327948
0.460,0.620340,-0.735367,9.901408
0.480,0.720695,-0.752991,9.781019
0.500,0.519383,-0.903450,9.668246
0.520,0.555502,-1.040275,9.633083
0.540,0.325166,-0.851149,9.710166
0.560,0.191982,-0.986583,9.671710
0.580,0.253973,-1.115239,9.979413
0.600,0.015966,-0.976391,9.779869
0.620,0.117882,-0.854027,9.729440
0.640,-0.144209,-1.053774,9.885173
0.660,-0.175567,-0.932192,9.931844
0.680,-0.180902,-0.961254,9.704724
0.700,-0.455406,-1.024141,9.257744
0.720,-0.486313,-0.887513,10.035314
0.740,-0.717611,-0.944775,9.543891
0.760,-0.651575,-0.861969,9.662913
0.780,-0.815947,-0.737431,9.785054
0.800,-0.843307,-0.683201,9.853705
0.820,-0.756096,-0.549308,10.289723
0.840,-0.787029,-0.373981,9.454498
0.860,-1.004959,-0.405729,9.522860
0.880,-1.089092,-0.415842,9.742362
0.900,-0.899122,-0.107300,9.319770
0.920,-0.975779,-0.114063,9.735260
0.940,-0.991222,0.087579,9.694629
0.960,-1.012616,-0.088029,9.663350
0.980,-0.947400,0.101731,9.547804
1.000,-0.892466,0.327278,9.916677
1.020,-0.849350,0.345110,10.063459
1.040,-1.009658,0.363408,9.621228
1.060,-0.914379,0.526476,10.249299
1.080,-0.854098,0.675099,9.790675
1.100,-0.579334,0.839432,10.090373
1.120,-0.823817,0.824421,9.970447
1.140,-0.626579,0.747962,9.638895
1.160,-0.422009,0.828798,9.504589
1.180,-0.465303,0.899141,9.455034
1.200,-0.434428,0.891002,9.347076
1.220,-0.333456,0.972035,9.431356
1.240,-0.194938,0.900168,9.559208
1.260,-0.119367,0.987824,9.908328
1.280,0.223329,1.004649,9.446748
1.300,0.188848,1.111509,9.661632
1.320,0.339123,0.684057,9.936728
1.340,0.572537,0.912357,9.960107
1.360,0.391341,0.864494,9.745030
1.380,0.509808,0.866902,10.155515
1.400,0.682702,0.760388,9.697757
1.420,0.874564,0.746279,9.784363
1.440,0.657676,0.545592,9.822476
1.460,0.802391,0.598684,10.192443
1.480,0.690303,0.455382,9.447520
1.500,0.840208,0.258399,9.621542
1.520,1.176067,0.258724,10.035209
1.540,0.991243,0.220049,9.586667
1.560,0.890062,-0.028272,9.421562
1.580,0.909023,-0.185824,9.541672
1.600,0.933319,-0.139958,9.698221
1.620,1.003990,-0.187936,9.733793
1.640,0.870766,-0.236634,9.776846
1.660,0.755302,-0.490815,9.586232
1.680,0.914011,-0.419439,9.976338
1.700,0.868845,-0.703607,9.741176
1.720,0.826184,-0.586799,10.156143
1.740,0.699938,-0.989470,9.827730
1.760,0.709472,-0.737872,9.973274
1.780,0.506015,-0.832567,10.157687
1.800,0.366173,-0.831330,9.645351
1.820,0.495999,-0.739929,9.746999
1.840,0.082394,-0.808796,10.336288
1.860,0.039689,-1.178324,9.403326
1.880,-0.035043,-0.876613,9.614101
1.900,0.063442,-1.128524,9.819001
1.920,-0.307330,-1.025989,9.940772
1.940,-0.189200,-0.950721,9.641110
1.960,-0.373987,-0.839432,10.027878
1.980,-0.387923,-0.856712,10.110214
2.000,-0.532079,-0.837550,9.928672
2.020,-0.729661,-0.812178,9.617810
2.040,-0.782288,-0.803386,9.445807
2.060,-0.865556,-0.699393,9.687461
2.080,-0.917395,-0.693642,10.011180
2.100,-1.138061,-0.658937,9.875765
2.120,-0.841328,-0.327840,9.960966
2.140,-0.934262,-0.337579,9.640400
2.160,-0.900937,-0.334858,9.722530
2.180,-0.959383,-0.008737,10.037929
2.200,-0.982204,0.004611,9.602580
2.220,-1.119713,0.058336,10.227213
2.240,-0.965516,0.113462,9.636075
2.260,-0.911836,0.505686,10.058117
2.280,-1.011828,0.389333,9.721582
2.300,-0.793201,0.475539,9.439056
2.320,-0.926806,0.457568,9.845765
2.340,-0.631335,0.766598,9.709783
2.360,-0.506001,0.659486,9.472278
2.380,-0.699341,0.808296,9.512081
2.400,-0.335419,0.820617,9.833764
2.420,-0.465092,1.004037,9.824738
2.440,-0.417773,0.823011,9.763849
2.460,-0.267621,0.768130,9.560589
2.480,-0.222892,0.940466,9.398132
2.500,-0.219730,1.231362,9.967329
2.520,0.102849,1.168651,9.757824
2.540,0.151138,0.940687,9.311246
